0	"increasing"	vn.role:Attribute	"need"
0	"new types"	rdfs:subClassOf	"types"
0	"covered"	vn.role:Theme2	"new types"
0	"rdf data"	rdfs:subClassOf	"data"
0	"data analysis"	rdfs:subClassOf	"analysis"
0	"rdf data analysis"	rdfs:subClassOf	"analysis"
0	"rdf data analysis"	rdfs:subClassOf	"data analysis"
0	"covered"	vn.role:Theme2	"rdf data analysis"
0	"covered"	local:AM-NEG	"not"
0	"sparql query answering"	rdfs:subClassOf	"answering"
0	"sparql query"	rdfs:subClassOf	"query"
0	"query answering"	rdfs:subClassOf	"answering"
0	"sparql query answering"	rdfs:subClassOf	"query answering"
0	"reasoning tasks"	rdfs:subClassOf	"tasks"
0	"standard reasoning tasks"	rdfs:subClassOf	"reasoning tasks"
0	"standard reasoning tasks such_as sparql query answering"	local:such_as_sparqlqueryanswering	"standard reasoning tasks"
0	"standard reasoning tasks such_as sparql query answering"	local:standardreasoningtasks_such_as	"sparql query answering"
0	"covered"	vn.role:indirect_object	"standard reasoning tasks such_as sparql query answering"
1	"entity comparison"	rdfs:subClassOf	"comparison"
1	"determining"	vn.role:Agent	"entity comparison"
1	"rdf graph"	rdfs:subClassOf	"graph"
1	"given entities"	rdfs:subClassOf	"entities"
1	"two given entities"	rdfs:subClassOf	"given entities"
1	"differences between two given entities"	local:between_twogivenentities	"differences"
1	"differences between two given entities"	local:differences_between	"two given entities"
1	"two given entities in rdf graph"	local:in_rdfgraph	"two given entities"
1	"two given entities in rdf graph"	local:twogivenentities_in	"rdf graph"
1	"determining"	vn.role:Theme	"differences between two given entities"
1	"given"	vn.role:object	"entities"
1	"rdf graph"	rdfs:subClassOf	"graph"
1	"given"	local:AM-LOC	"rdf graph"
2	"entity comparison"	rdfs:subClassOf	"comparison"
2	"determining"	vn.role:Agent	"entity comparison"
2	"rdf graph"	rdfs:subClassOf	"graph"
2	"given entities"	rdfs:subClassOf	"entities"
2	"two given entities"	rdfs:subClassOf	"given entities"
2	"similarities between two given entities"	local:between_twogivenentities	"similarities"
2	"similarities between two given entities"	local:similarities_between	"two given entities"
2	"two given entities in rdf graph"	local:in_rdfgraph	"two given entities"
2	"two given entities in rdf graph"	local:twogivenentities_in	"rdf graph"
2	"determining"	vn.role:Theme	"similarities between two given entities"
2	"given"	vn.role:object	"entities"
2	"rdf graph"	rdfs:subClassOf	"graph"
2	"given"	local:AM-LOC	"rdf graph"
